id;tipo;id_doc;id_prod;cantidad;us_crea;date_crea
410;SAL;271;2728;12;1;2016-07-07
411;SAL;276;4214;9;1;2016-07-08
412;DEV;62;3050;1;1;2016-07-08
413;DEV;62;3049;1;1;2016-07-08
414;DEV;62;3048;1;1;2016-07-08
415;SAL;277;5035;1;1;2016-07-15
416;SAL;277;4705;1;1;2016-07-15
417;SAL;277;2338;1;1;2016-07-15
418;ENT;40;5028;4;1;2016-07-18
419;ENT;40;5204;1;1;2016-07-18
420;ENT;40;5205;4;1;2016-07-18
421;ENT;40;1003;4;1;2016-07-18
422;ENT;40;5206;4;1;2016-07-18
423;ENT;40;5207;4;1;2016-07-18
424;ENT;40;5208;4;1;2016-07-18
425;DEV;55;4705;1;1;2016-07-22
426;DEV;64;2338;1;1;2016-07-22
427;DEV;64;4705;1;1;2016-07-22
428;DEV;64;5035;1;1;2016-07-22
429;SAL;278;4464;1;1;2016-07-25
430;DEV;67;2341;1;1;2016-07-25
431;SAL;279;2456;1;1;2016-07-27
432;SAL;280;5015;1;1;2016-07-27
433;SAL;281;5014;3;1;2016-07-27
434;SAL;279;4542;10;1;2016-07-29
435;SAL;283;5204;1;1;2016-07-29
436;SAL;284;5158;2;1;2016-08-08
437;SAL;285;4736;1;1;2016-08-09
438;DEV;68;5158;1;1;2016-08-19
439;SAL;286;3037;1;1;2016-08-22
440;SAL;287;2345;1;1;2016-08-25
441;SAL;287;5097;1;1;2016-08-25
442;SAL;287;4317;1;1;2016-08-25
443;SAL;288;4705;1;1;2016-08-30
444;SAL;289;5015;1;1;2016-08-30
445;SAL;290;1003;1;1;2016-08-30
446;DEV;69;5015;1;1;2016-08-31
447;SAL;291;5202;2;1;2016-09-05
448;SAL;292;4735;1;1;2016-09-09
449;SAL;293;1331;3;1;2016-09-16
450;SAL;294;3364;16;1;2016-09-16
451;SAL;295;5115;4;1;2016-09-16
452;SAL;296;3026;1;1;2016-10-06
453;SAL;297;4435;1;1;2016-10-14
454;SAL;298;4735;1;1;2016-10-14
455;ENT;47;4853;2;1;2016-10-19
456;ENT;47;4852;2;1;2016-10-19
457;ENT;47;4851;2;1;2016-10-19
458;ENT;47;5110;1;1;2016-10-19
459;ENT;47;4884;1;1;2016-10-19
460;ENT;47;4217;5;1;2016-10-19
461;ENT;47;5211;50;1;2016-10-19
462;ENT;47;4571;50;1;2016-10-19
463;ENT;47;5114;25;1;2016-10-19
464;ENT;47;1297;50;1;2016-10-19
465;ENT;47;5210;26;1;2016-10-19
466;ENT;47;5209;2;1;2016-10-19
467;ENT;47;5214;20;1;2016-10-19
468;ENT;47;5213;25;1;2016-10-19
469;ENT;47;5215;50;1;2016-10-19
470;ENT;47;5212;15;1;2016-10-19
471;ENT;47;1428;20;1;2016-10-19
472;ENT;47;1368;200;1;2016-10-19
473;ENT;47;1435;5;1;2016-10-19
474;ENT;47;2748;5;1;2016-10-19
475;ENT;47;5217;25;1;2016-10-19
476;ENT;47;5216;100;1;2016-10-19
477;ENT;47;2945;100;1;2016-10-19
478;ENT;47;5218;25;1;2016-10-19
479;ENT;47;5219;20;1;2016-10-19
480;ENT;47;1394;10;1;2016-10-19
481;ENT;47;1395;10;1;2016-10-19
482;ENT;47;1308;100;1;2016-10-19
483;ENT;47;1385;360;1;2016-10-19
484;ENT;47;5220;2;1;2016-10-19
485;ENT;47;1360;200;1;2016-10-19
486;ENT;47;1473;360;1;2016-10-19
487;ENT;47;1361;120;1;2016-10-19
488;ENT;47;1298;400;1;2016-10-19
489;ENT;47;1383;15;1;2016-10-19
490;ENT;47;5221;100;1;2016-10-19
491;ENT;47;1462;50;1;2016-10-19
492;ENT;47;5222;1000;1;2016-10-19
493;ENT;47;1396;10;1;2016-10-19
494;ENT;47;4229;50;1;2016-10-19
495;SAL;294;4571;1;1;2016-10-26
496;SAL;300;5217;4;1;2016-10-28
497;SAL;300;5218;4;1;2016-10-28
498;SAL;302;4720;30;1;2016-10-28
499;SAL;303;2345;1;1;2016-11-01
500;SAL;304;2345;1;1;2016-11-01
501;SAL;305;5096;2;1;2016-11-01
502;SAL;305;5114;1;1;2016-11-01
503;SAL;305;5115;1;1;2016-11-01
504;SAL;306;4566;5;1;2016-11-15
505;ENT;87;5223;3;1;2016-11-18
506;ENT;87;5225;18;1;2016-11-18
507;ENT;87;5090;2;1;2016-11-18
508;ENT;87;5224;6;1;2016-11-18
509;ENT;87;4945;5;1;2016-11-18
510;ENT;87;5226;6;1;2016-11-18
511;ENT;87;5180;1;1;2016-11-18
512;ENT;87;5227;6;1;2016-11-18
513;ENT;87;5229;4;1;2016-11-18
514;ENT;87;5228;7;1;2016-11-18
515;ENT;87;5230;4;1;2016-11-18
516;ENT;87;5231;3;1;2016-11-18
517;ENT;87;5232;3;1;2016-11-18
518;ENT;87;5233;3;1;2016-11-18
519;ENT;87;5234;3;1;2016-11-18
520;ENT;87;5235;3;1;2016-11-18
521;ENT;87;5187;1;1;2016-11-18
522;ENT;87;5236;3;1;2016-11-18
