id;procedencia;id_at;designacion;ref;SAP;id_prod;medida;us_crea;date_crea;us_modif;date_modif
119;,;1;Cable de cobre aislado DIN48201-150/37-ECu, aislamiento 1,8/3kV;DIN48201-150ECuAIS;;4190;Mts;1;2015-05-12;0;0000-00-00
120;,;1;Arandela plana de ala ancha DIN9021B-A13-A2;DIN9021B-A13-A2;;4191;Ud;1;2015-05-12;0;0000-00-00
121;,;1;Tornillo hexagonal DIN931-M12x120-A2-70;DIN931-M12x120-A2;;4192;Ud;1;2015-05-12;0;0000-00-00
122;,;1;Tornillo hexagonal DIN931-M12x40-A2-70;DIN931-M12x40-A2;;4193;Ud;1;2015-05-12;0;0000-00-00
123;,;1;Tornillo hexagonal DIN931-M12x55-A2-70;DIN931-M12x55-A2;;4194;Ud;1;2015-05-12;0;0000-00-00
124;,;1;Tornillo hexagonal DIN931-M12x80-A2-70;DIN931-M12x80-A2;;4195;Ud;1;2015-05-12;0;0000-00-00
125;,;1;Eje roscado DIN931-M18x270-A2-70;DIN931-M18x270-A2;;4196;Ud;1;2015-05-12;0;0000-00-00
126;,;1;Eje roscado DIN931-M20x330-A2-70;DIN931-M20x330-A2;;1276;Ud;1;2015-05-12;0;0000-00-00
127;,;1;Tornillo hexagonal DIN933-M10x65-A2-70;DIN933-M10x65-A2;;2921;Ud;1;2015-05-12;0;0000-00-00
128;,;1;Tornillo hexagonal DIN933-M12x140-A2-70;DIN933-M12x140-A2;;2920;Ud;1;2015-05-12;0;0000-00-00
129;,;1;Tornillo hexagonal DIN933-M12x65-A2-70;DIN933-M12x65-A2;A2V00000201189;4197;Ud;1;2015-05-12;0;0000-00-00
130;,;1;Tornillo hexagonal DIN933-M14x65-A2-70;DIN933-M14x65-A2;;4198;Ud;1;2015-05-12;0;0000-00-00
131;,;1;Tornillo hexagonal DIN933-M18x55-A2-70;DIN933-M18x55-A2;;1483;Ud;1;2015-05-12;0;0000-00-00
132;,;1;Tornillo hexagonal DIN933-M6x55-A2-70;DIN933-M6x55-A2;;4199;Ud;1;2015-05-12;0;0000-00-00
133;,;1;Tuerca hexagonal DIN934-M10-A2-70;DIN934-M10-A2;;3020;Ud;1;2015-05-12;0;0000-00-00
134;,;1;Tuerca hexagonal DIN934-M12-A2-70;DIN934-M12-A2;;3021;Ud;1;2015-05-12;0;0000-00-00
135;,;1;Tuerca hexagonal DIN934-M14-A2-70;DIN934-M14-A2;;1514;Ud;1;2015-05-12;0;0000-00-00
136;,;1;Tuerca hexagonal DIN934-M16-A2-70;DIN934-M16-A2;;1515;Ud;1;2015-05-12;0;0000-00-00
137;,;1;Tuerca hexagonal DIN934-M16x1.5;DIN934-M16x1.5-A2;;4200;Ud;1;2015-05-12;0;0000-00-00
