id_prod;image;us_crea;date_crea
2396;ID=2396 .JPG;1;2015-09-04
2397;ID=2397 .JPG;1;2015-09-04
2399;ID=2399 .JPG;1;2015-08-12
2401;ID=2401 .JPG;1;2015-09-06
2402;ID= 2402 .JPG;1;2015-08-12
2405;ID=2405 .JPG;1;2015-09-06
2411;ID=2411.JPG;1;2015-08-27
2414;ID=2414.JPG;2;0000-00-00 00:00:00
2418;ID=2418.JPG;1;2015-08-26
2421;ID=2421 .JPG;1;2015-08-12
2422;ID=2422 .JPG;1;2015-08-12
2423;ID=2423.JPG;1;2015-08-26
2424;ID=2424, .JPG;1;2015-09-02
2429;ID=2429 .JPG;1;2015-08-26
2431;ID=2431 .JPG;1;2015-08-26
2433;ID=2433 -.JPG;1;2015-08-31
2434;ID=2434 .JPG;1;2015-08-12
2435;ID=2435 .JPG;1;2015-08-12
2436;ID=2436 .JPG;1;2015-09-06
2438;ID=2438 .JPG;1;2015-09-06
2439;ID=2439 .JPG;1;2015-08-12
2440;ID=2440, .JPG;1;2015-12-02
2442;ID=2442 .JPG;1;2015-09-06
2443;ID=2443 .JPG;1;2015-09-06
2444;ID=2444 .JPG;4;2016-04-15
2455;ID=2455 .JPG;1;2015-08-12
2456;ID=2456, .JPG;1;2015-09-02
2461;ID=2461 .JPG;1;2015-09-06
2463;ID=2463, .JPG;1;2015-09-02
2464;ID=2464 .JPG;1;2015-08-26
2465;ID=2465 .JPG;1;2015-08-12
2476;ID=2476 .JPG;1;2015-08-31
2479;ID=2479.JPG;1;2015-08-26
2481;ID=2481, .JPG;1;2015-09-02
2483;ID=2483, .JPG;2;0000-00-00 00:00:00
2484;ID=2484, .JPG;2;0000-00-00 00:00:00
2485;ID=2485, .JPG;2;0000-00-00 00:00:00
2486;ID=2486, .JPG;2;0000-00-00 00:00:00
2495;ID=2495, .JPG;2;0000-00-00 00:00:00
2514;ID=2514, .JPG;2;0000-00-00 00:00:00
2538;ID=2538, .JPG;2;0000-00-00 00:00:00
2548;ID=2548 .JPG;2;0000-00-00 00:00:00
2553;ID=2553, .JPG;2;0000-00-00 00:00:00
2554;ID=2554, .JPG;2;0000-00-00 00:00:00
2555;ID=2555, .JPG;2;0000-00-00 00:00:00
2563;ID=2563, S25131-A1-A217 .JPG;1;2015-08-04
2564;ID=2564, .JPG;2;0000-00-00 00:00:00
2575;ID=2575, .JPG;2;0000-00-00 00:00:00
2576;ID=2576, .JPG;2;0000-00-00 00:00:00
2578;ID=2578, .JPG;2;0000-00-00 00:00:00
2582;ID=2582, .JPG;2;0000-00-00 00:00:00
2599;ID=2599, .JPG;2;0000-00-00 00:00:00
2602;ID=2602, .JPG;2;0000-00-00 00:00:00
2603;ID=2603, .JPG;2;0000-00-00 00:00:00
2604;ID=2604, .JPG;2;0000-00-00 00:00:00
2615;ID=2615, .JPG;2;0000-00-00 00:00:00
2671;ID=2671, .JPG;2;0000-00-00 00:00:00
2672;ID=2672, .JPG;2;0000-00-00 00:00:00
2692;ID=2692, .JPG;2;0000-00-00 00:00:00
2718;ID=2718, .JPG;2;0000-00-00 00:00:00
2719;ID=2719, .JPG;2;0000-00-00 00:00:00
2720;ID=2720, .JPG;2;0000-00-00 00:00:00
2723;ID=2723, .JPG;2;0000-00-00 00:00:00
2728;ID=2728, .JPG;2;0000-00-00 00:00:00
2920;ID=2920, .JPG;2;0000-00-00 00:00:00
2921;ID=2921, .JPG;2;0000-00-00 00:00:00
2941;ID=2941, 8WL4567-8.JPG;2;0000-00-00 00:00:00
2946;ID=2946 .JPG;1;2015-09-06
2966;ID=2966.JPG;2;0000-00-00 00:00:00
2976;ID=2976 .JPG;1;2015-08-31
